Day,Event Title,Start Time,End Time,Event Type,Venue,Contact Person(s),Description,Registration Link
Day 1,Opening (and the Scav List),09:30,10:00,CMI Only,Audi Foyer,"Arjun Maneesh Agarwal; Harshitha Mucherla; Vighnesh Sangle","Opening ceremony and early access to scavenger list.",
Day 1,Tug of War I,10:00,15:00,CMI Only,Football Field,"Devesh Bajaj; Abhishek Lungariya","Tug of war competition.",https://forms.gle/iYY6VppK585zhqy98
Day 1,Chess Clock Jenga,15:00,16:00,CMI Only,Common Room,"Anusha Gupta","Jenga played under time pressure.",https://tally.so/r/Gxp8Dz
Day 1,Relay I,16:00,17:00,CMI Only,Football Field,"Ishan Biswas","Preliminary relay race.",https://docs.google.com/forms/d/e/1FAIpQLSegBaUqzTtCK235i1olIW_YmRaGEJmNE5A5SF-_G0kSfCdxjA/viewform
Day 1,Anti-Thesis,17:00,19:30,CMI Only,Seminar Hall,"Anya Basu; Aditya Vashihsth","Defend a randomly assigned dissertation topic.",https://forms.gle/YKvsZRNgXRw8GGCN8
Day 1,Convention DnD,19:30,22:30,CMI Only,DS Area,,"Tabletop role-playing games session.",
Day 1,Badminton,22:30,00:30,CMI Only,Volleyball Court,,"Late-night badminton games.",
Day 1,Poetry Slam,22:30,23:30,CMI Only,NKN Hall,"Animikha Dutta Dhar","Open poetry performances."

Day 2,Presentation Night,00:30,04:00,CMI Only,Seminar Hall,"Sunaina Pati; Pranath Karanth","Creative presentation event (non-academic)."
Day 2,Balloon Battle Royale,09:30,12:30,CMI Only,Football Field,,"Team balloon popping battle."
Day 2,FIFA,13:00,16:00,CMI Only,LH01,"Kabir Singh; Naman Maheshwari; Tejas Sah; Neelabh Shome","Esports-style FIFA tournament.",https://forms.gle/F7XxSUFF6Cunapfv7
Day 2,Mock Court,14:00,16:00,CMI Only,NKN Hall,"Arjun Maneesh Agarwal","Courtroom debate simulation."
Day 2,Relay II,16:00,17:00,Open,Football Field,"Ishan Biswas","Final relay race.",https://docs.google.com/forms/d/e/1FAIpQLSegBaUqzTtCK235i1olIW_YmRaGEJmNE5A5SF-_G0kSfCdxjA/viewform
Day 2,Cultural Night,18:00,21:00,Open,Auditorium,"Shruti Sharma; Srishti Lakhotia","Performances: music, dance, drama."
Day 2,Poker Night,21:00,24:00,CMI Only,NKN Hall,"Qusai Nampurwala; Sania Rawat","Poker games and casual play."

Day 3,Clash Royale,00:00,01:15,CMI Only,Computer Lab,"Harshitha Mucherla","Mobile esports tournament."
Day 3,GeoGuesser,00:00,01:15,CMI Only,Computer Lab,"Shashank Ingalagavi","Competitive GeoGuessr.",https://docs.google.com/forms/d/e/1FAIpQLScxIH0g90UWQCPoOZAf9YyzhO3BD5RYGsWG7zV1iCWEdLx5Ow/viewform
Day 3,Murder Mystery Night,01:30,04:00,CMI Only,"DS Area; NKN Hall","Arjun Maneesh Agarwal","Interactive murder mystery event."
Day 3,Tetris,10:00,13:00,CMI Only,Computer Lab,"Karan Gupta","1v1 Tetris tournament."
Day 3,Monologue Competition,14:00,15:30,CMI Only,Seminar Hall,"Neel Sinha","Impromptu speaking competition."
Day 3,Chiraayu's Board Game Evening,15:30,19:30,CMI Only,DS Area,"Chiraayu Sneha Nanda","Open board game session."
Day 3,DJ Night,19:00,24:00,CMI Only,Audi Foyer,"Harshitha Mucherla","Dance and music night."

Day 4,Hand and Brain Chess,00:30,02:30,CMI Only,LH01,"Aadrita Paul; Thejas","Chess variant tournament.",https://forms.gle/xjVPpvbrLwbpfG6p7
Day 4,5 Minute Presentations,09:30,13:30,Open,Seminar Hall,"Sunaina Pati; Pranath Karanth","Short teaching presentations.",../5-min-presentation
Day 4,Integration Bee,13:30,17:30,Open,Seminar Hall,"Arjun Maneesh Agarwal; Piyush Kumar Jha","Competitive calculus event.",../integration-bee
Day 4,Neel's Movie Club Pirated Film Festival,17:30,20:30,Open,Seminar Hall,"Neel Sinha","Screening of short films."
Day 4,CMI vs IMSc Football,17:30,19:30,Open,Football Field,"Anwess Kumar Das","Inter-institute football match."
Day 4,Jane Street's Estimathon,19:30,20:30,Open,Seminar Hall,"Rhyin Mandal; Om Chaudhri","Team-based estimation contest.",../estimathon
Day 4,Quiz Night,20:30,22:30,Open,Seminar Hall,"Arjun Maneesh Agarwal; Animikha Dutta Dhar","Team quiz event."
Day 4,Judgement Day,22:30,23:30,CMI Only,Seminar Hall,"Arjun Maneesh Agarwal; Vighnesh Sangle","Final scoring and results."
Day 4,Closing Ceremony,23:30,00:00,CMI Only,Audi Foyer,"Arjun Maneesh Agarwal; Harshitha Mucherla","Closing event."
